Time (min),A1,A2,A3,B1,B2,B3
10,2419.654791,1610.130981,2062.511933,1547.630981,2782.970487,2475.98464
20,2626.296838,1882.384389,2221.254821,1687.32625,3722.115406,2747.387225
30,2819.834084,2135.452745,2349.245849,1761.745849,3780.953166,2633.583198
40,2633.301322,2417.392231,2540.278066,2008.301322,3946.554334,3392.337467
50,2657.060424,2128.106232,2669.190148,1750.138521,4518.216122,3351.549456
60,2572.487113,2359.721156,2132.926674,2048.096869,4595.742927,3419.545937
70,3221.793008,2762.609334,3024.301511,2457.482405,5245.829289,4046.212431
80,3857.202529,3051.377286,3524.029406,2272.806693,5584.619161,4284.717975
90,4145.69871,3660.210804,3961.076605,3094.970162,6742.028986,4830.917874
100,4899.960011,4179.874541,4428.721073,3029.270355,7144.909506,5458.470649
110,5905.517263,5305.395328,4984.758877,3488.394039,8729.476182,5938.063911
120,6077.982105,5426.466954,5800.363399,4081.145608,10229.49726,6897.814088
130,6391.787429,5769.409806,6115.844394,5154.852321,11525.82006,8909.467861
140,7003.823635,6769.033925,6307.870937,6219.659337,11945.29199,9705.639816
150,6933.10592,7025.564936,6404.883118,7207.133564,13150.52844,10721.04881
160,6928.600719,6699.548578,6918.574744,8887.109004,14054.65248,11452.25059
170,7365.336471,7276.676969,6892.093636,9825.072987,14440.54892,12966.11662
180,7777.589315,7220.955614,7439.681778,10382.9472,15786.17301,12670.78839
190,8986.213144,8111.973115,7967.890123,11799.1233,16199.06802,15057.9328
200,10035.13537,9342.397483,8997.94492,12930.89655,17688.9566,15450.67491
210,11900.6444,10572.47968,10812.50069,13999.26539,19102.80313,16507.81803
220,13008.12796,12338.41522,13060.81224,14423.32607,22110.61791,18835.81139
230,13237.04027,13147.74225,13634.26938,15611.27677,25832.45012,21519.34449
240,12652.15091,12156.3876,12971.22518,17016.07706,29606.7144,25613.96487
250,10659.44713,10925.16142,12166.87238,19423.05323,35240.58216,27421.23284
