,Time,Open_1,Open_2,Open_3,Open_4,Open_5,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Cis_1,Cis_2,Cis_3,Cis_4,Cis_5,Layered_1,Layered_2,Layered_3,Layered_4,Layered_5
0,10,0.088,0.088,0.087,0.087,0.088,0.087,0.087,0.088,0.087,0.087,0.09,0.089,0.094,0.089,0.088,0.089,0.088,0.089,0.089,0.09
1,20,0.089,0.089,0.088,0.088,0.089,0.092,0.09,0.089,0.087,0.088,0.09,0.091,0.094,0.09,0.089,0.091,0.089,0.09,0.089,0.09
2,30,0.09,0.09,0.089,0.089,0.091,0.09,0.093,0.093,0.093,0.089,0.092,0.092,0.096,0.091,0.091,0.091,0.09,0.091,0.094,0.092
3,40,0.093,0.091,0.09,0.092,0.092,0.09,0.092,0.092,0.092,0.09,0.094,0.094,0.097,0.093,0.092,0.093,0.091,0.093,0.093,0.093
4,50,0.096,0.093,0.091,0.093,0.093,0.092,0.093,0.096,0.092,0.092,0.096,0.096,0.1,0.095,0.095,0.096,0.096,0.096,0.095,0.102
5,60,0.097,0.096,0.094,0.095,0.096,0.095,0.097,0.099,0.097,0.094,0.1,0.1,0.104,0.099,0.098,0.099,0.096,0.1,0.098,0.103
6,70,0.101,0.1,0.097,0.098,0.099,0.098,0.099,0.099,0.099,0.098,0.107,0.106,0.11,0.104,0.103,0.106,0.1,0.104,0.102,0.103
7,80,0.105,0.104,0.1,0.103,0.104,0.102,0.104,0.104,0.104,0.103,0.113,0.113,0.116,0.11,0.109,0.111,0.104,0.109,0.108,0.109
8,90,0.113,0.112,0.106,0.107,0.109,0.107,0.109,0.11,0.109,0.108,0.121,0.12,0.122,0.117,0.117,0.117,0.109,0.116,0.114,0.115
9,100,0.119,0.118,0.11,0.114,0.115,0.113,0.115,0.116,0.116,0.115,0.129,0.129,0.13,0.126,0.125,0.125,0.116,0.124,0.122,0.123
10,110,0.127,0.124,0.116,0.118,0.121,0.119,0.121,0.122,0.123,0.121,0.139,0.14,0.139,0.136,0.134,0.134,0.123,0.134,0.131,0.133
11,120,0.134,0.134,0.122,0.125,0.129,0.126,0.128,0.13,0.131,0.128,0.15,0.15,0.15,0.146,0.144,0.144,0.132,0.143,0.139,0.14
12,130,0.143,0.142,0.129,0.133,0.137,0.134,0.136,0.138,0.139,0.137,0.163,0.163,0.163,0.158,0.157,0.157,0.141,0.155,0.15,0.15
13,140,0.153,0.154,0.138,0.141,0.148,0.145,0.147,0.148,0.149,0.147,0.179,0.178,0.178,0.172,0.172,0.171,0.151,0.17,0.163,0.163
14,150,0.165,0.166,0.148,0.151,0.159,0.156,0.158,0.159,0.161,0.159,0.195,0.195,0.192,0.188,0.186,0.185,0.164,0.184,0.178,0.177
15,160,0.179,0.179,0.158,0.163,0.172,0.169,0.17,0.171,0.175,0.172,0.206,0.206,0.204,0.199,0.198,0.201,0.178,0.199,0.193,0.19
16,170,0.191,0.192,0.171,0.176,0.187,0.183,0.183,0.185,0.189,0.185,0.227,0.226,0.221,0.217,0.216,0.216,0.193,0.213,0.206,0.203
