,Time,Open_1,Open_2,Open_3,Open_4,Open_5,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Cis_1,Cis_2,Cis_3,Cis_4,Cis_5,Layered_1,Layered_2,Layered_3,Layered_4
0,10,-64.83932733932761,607.8879453879454,-109.30118731842867,-109.30118731842867,-611.4302364302366,-534.5885436402677,315.9861690034104,-106.88478188478166,315.9861690034104,486.1011115321462,103.3424908424904,269.63462567395163,-329.6362325617647,394.3537267975471,19.251581751581398,-437.10694735975676,-22.793872793873106,-561.8260484833518,-686.5451496069477
1,20,158.0688973947399,615.3722681812569,-138.61138861138897,71.615884115884,-1005.9760464254846,-599.283325370282,78.15628815628816,116.49586368687505,-16.82455475558936,-306.79320679320654,-250.732600732601,487.9120879120878,287.2106616787469,-456.28815628815664,241.21496481047006,528.5714285714284,-8.223237436720865,-332.95482295482316,-91.36930485245102
2,30,112.24099627930445,605.5743296126384,-307.64664417013364,440.6679625714396,400.9223149606232,235.57432961263794,243.5313188599498,-353.24287468843704,-34.96330479596418,606.9600974029004,-40.58509067721707,200.71925714886993,366.61599627930445,1376.7464907847989,-5.671091632783373,604.2190182573268,235.57432961263794,360.2629743012826,167.34737925802756
3,40,996.5665412888775,1454.3120216150037,848.0360753390573,-84.11368311504884,197.40805601538568,848.0360753390573,478.9297951458202,639.7993603632117,76.75588210234218,1300.2582975612795,637.2322928331473,597.8705907054878,-53.01776200343966,280.43750903081354,1162.6254473197341,1115.9213799985555,1251.0153183183002,1076.1364337619962,956.7815950523191
4,50,1395.5086580086581,2012.175324675325,900.8200133200135,540.1323139226365,619.7022063957547,1261.4506869941652,858.4118838151094,1164.2586580086581,1663.6246000376432,1221.2332956898172,1434.0503246753242,1279.8836580086581,1296.8419913419912,1051.47357028936,272.52620186830745,1665.3003246753242,1703.8419913419912,894.4669913419912,661.9998860788337
5,60,1341.9513605797247,1616.1137317137454,961.725433841405,922.3637317137454,1423.4053983804124,1467.626889608482,2142.982288414776,1333.4748428248568,1532.6730100642608,3126.6190508626814,1847.3637317137454,1329.3637317137454,1491.594500944515,1557.7172670672808,1828.4861806933377,2193.070802420816,2194.2387317137454,1699.3637317137454,1941.751486815786
6,70,2107.737691200313,1897.8268001112037,2272.0226763998635,1502.908432764265,711.9581132425169,3428.4186368458977,2244.281345565749,2468.5237698081737,2730.1399314243354,3239.643126641816,2247.4249309523257,2469.581517092336,2143.372254656658,1539.21141549582,1760.9627224413016,2504.487177469694,3081.8268001112037,2144.0191078035123,3256.669937366106
7,80,2906.6213561695868,4058.6360081842386,3569.0975466457767,3221.3693913059715,2422.0975466457767,3564.7446054693073,3774.020623568854,4058.6360081842386,4414.40523895347,5520.398517519564,3265.2391395661307,2217.4515289466617,2645.3734087147413,3178.9157284639587,3058.565436554034,4697.097546645778,4876.90523895347,3703.5195649944008,3860.9864355346654
8,90,4468.517963643191,4131.729088801218,4002.0794931138867,3805.694375850618,3423.734331265176,4946.815871177721,4102.633413833984,5256.144673216802,6275.110478054166,6524.983057055186,3751.681863299447,3678.038612610742,3672.478503321125,3576.051433123562,4271.777928850057,7117.931775003903,5630.156349613801,5156.975394219937,5416.064928400216
9,100,5482.379547043942,5796.72935476364,6297.284054301391,5096.996972961677,5292.580496989137,7255.473917535502,6129.102236119571,5739.964305085088,7526.171201636812,7223.015279597833,4413.908437669959,4557.319290383137,3652.9483899657253,4566.880013897349,3465.102236119571,6721.102236119571,7589.964305085087,6672.166752248603,6632.54485907039
10,110,7090.074143738248,8021.887707365375,8158.734203472162,7362.401649410211,6675.939960097981,8715.449648270771,7685.0308691888895,7091.506956439938,8523.080993491785,9917.262274147568,5042.739413097564,5495.827799531274,5095.976823169506,4568.495866758164,5326.606051130421,8363.919483966241,9395.438717069022,7922.128439190123,8907.937941297903
11,120,8994.593566725087,8580.414462247472,8837.97502011388,8820.748790605683,8234.944139442892,9559.104346161237,8341.830040605682,9382.010329067221,10229.121309689654,10943.392540605684,6196.21545727235,6664.882123939016,5653.548790605682,6261.767968687875,5961.882123939016,10586.882123939016,9745.973033029924,8836.066273123168,10897.433682692012
12,130,10914.926996757895,10508.593893241694,10934.382734818282,9581.144989291675,10575.541564671732,12479.153069192922,10094.374754882123,10620.74943518903,12448.760070159311,13249.264192408958,6486.006837162889,6531.405610169023,6985.393340230373,6768.025164413025,6798.3041291796135,12195.119415803818,10988.695781164979,10679.388986381175,11683.561029391927
13,140,12653.083797837598,11887.393279205904,13431.671464788435,11116.17655267003,11286.743928556554,11835.364618211726,11047.62828229805,12661.743928556552,14080.36808963038,15804.771139440909,7969.146163193425,8293.485501590261,7462.024827432959,7780.348579719344,7328.604393672833,13785.866735574096,13455.28697491417,12766.74392855655,12614.658038986001
14,150,14204.525171150155,13018.606952822298,14567.100928725915,12339.451922103399,13698.075771493208,14438.254774879759,13840.2021945487,12837.06948218503,15855.144406986783,17840.21413627308,8337.998364623349,8698.511185136169,8123.350928725912,9545.292418087614,9006.079423349569,15902.100928725915,15562.832636042982,13341.557450465043,14647.718906254002
15,160,15522.133020653138,15026.043635178277,16515.88169472145,14466.040893292544,13653.745986743823,16505.627781156923,14941.65980343329,13915.28209445496,18024.785853853457,18450.83900999964,8930.586131245967,9182.042441925578,8597.248038727406,8701.42332693314,8883.596820664423,17933.061617890413,16365.903028813329,14074.790161103994,16379.258096636582
16,170,17618.08241428188,15014.401131559365,18574.434026296207,16559.57158610482,15410.741372201075,17029.30891844461,16907.997443034772,14711.276131559363,20010.747031030263,22771.276131559367,9175.593312176103,8894.461972267329,9292.271606672486,9009.893643080102,9828.405761188995,18907.1094648927,18150.654369901335,15265.73622545608,17768.07224806422
17,180,18396.69390326803,17661.69529680203,18896.98375834049,17793.8654787706,16569.48375834049,18342.241490299253,18184.6760660328,16409.369545142523,21286.98375834049,23238.922533850695,10025.01588685455,10670.829912186648,9786.405245943799,9660.204097323542,10161.89901257778,17912.710254066988,20771.885719124806,16089.515947181691,18812.094869451605
18,190,19299.32968009894,17569.584452113704,20383.392971532292,18553.522505211047,16897.127156373837,19843.211500426358,18639.38374923019,18654.74892030539,23212.15886884741,24187.29609011671,11504.478387563988,11324.818801507343,11583.334535286234,11153.522505211047,10958.522505211047,22569.110740505166,20573.45463190788,18462.836230701243,20549.096275702854
19,200,22296.267692264122,19206.946066919772,20601.053209776914,20175.92264142054,18624.090201397597,22073.634663410998,21310.915365165387,20730.51490749948,25406.70373777054,27059.23502795873,13014.86273358644,12539.86273358644,12190.122249157375,12263.795117928074,12496.29130501501,25174.31727904098,22768.196066919772,21367.417478111984,24002.45671854884
20,210,24412.169601483572,20519.155465596657,23476.30419408369,21865.62853583742,20439.00607250609,23919.715237892677,23205.76952585491,21786.247495957192,27454.121788003486,28834.64411775044,13860.116682891146,12963.654170739092,13124.070076602351,13648.644375914886,12669.35154402803,26554.061387561407,25735.232371067017,24050.020983521,25349.22221570096
21,220,25673.831489891785,22072.09156315186,25151.618312123057,24368.268033740096,22532.85935341403,26731.997223529215,26614.255742256333,24159.359221144423,30430.24568501566,31544.90178212996,14936.767079376046,14787.032391554225,14163.20098564426,13656.571685476018,13825.814967407177,28649.553101613397,28832.75332785774,26439.351625071362,27954.607903021144
22,230,26322.83066840523,23695.778008413086,26022.526848960784,27139.671601319274,24242.947394173556,29727.34455729412,28310.323280698376,26134.777774483435,32354.34455729412,33262.05246107419,17696.264745087545,16034.18216413173,16628.122011132797,15349.274381855521,15800.65862280472,32446.28395123352,29887.846840399146,28674.75835039757,31523.31635991245
