,Param name,Param
0,beta_A,0.14
1,K_x,14000.0
2,K_R,45
3,K_lac,153
4,d_m,0.053
5,k_tl_cin,3
6,d_p,0.0099
7,K_r,0.86
8,beta_B,0.12
9,K_cin,618
10,d_r,0.05
11,k_fold_fp,0.14
12,k_fold_lac,0.01
13,x_i,2000000.0
14,k_tl_fp,0.2
15,k_tl_lac,2.78
16,k_fold_r,0.11
17,l0_Pcin,0.098
18,Rsrc_max,420
19,k_tli_b_lac,0.0099
20,k_tli_b_fp,0.022
21,k_tli_b_cin,0.071
22,k_tli_u,7
23,b_fold,0.1
24,K_P_total,3800
25,K_R_total,157
26,n_gamma_resources_tx,0.25
27,n_gamma_resources_tl,0.4
28,n_gamma_rate,0.065
29,CinR_0,10
30,LacI_0,24
31,FP_0,0
32,Mcin_0,20
33,Mg_0,7
34,C_max,668712500.0
35,C_0,10387499.0
36,k_gr,0.013
37,n_Cin_actn,3
38,n_Rhl_actn,3
39,n_Hill_delta,5.5
40,n_Hill_psi,3
41,n_Hill_trans,3
42,n_Hill_cis,3
43,r_Lac,0.09
44,r_R,0.023
45,r_Cin,0.067
