time(min),phi,,,A1,A2,A3,B1,B2,B3
10,0.086,0.086,0.087,0.084,0.086,0.084,0.08,0.081,0.082
20,0.087,0.086,0.087,0.085,0.086,0.084,0.08,0.083,0.082
30,0.089,0.087,0.088,0.085,0.087,0.085,0.08,0.082,0.083
40,0.091,0.089,0.09,0.087,0.088,0.086,0.08,0.083,0.083
50,0.093,0.092,0.093,0.089,0.091,0.088,0.081,0.084,0.084
60,0.097,0.096,0.097,0.093,0.094,0.091,0.082,0.086,0.085
70,0.102,0.101,0.102,0.098,0.098,0.096,0.082,0.09,0.087
80,0.109,0.108,0.11,0.103,0.103,0.101,0.083,0.092,0.088
90,0.115,0.115,0.115,0.109,0.11,0.105,0.085,0.095,0.09
100,0.124,0.121,0.124,0.116,0.117,0.113,0.087,0.099,0.094
110,0.133,0.13,0.132,0.121,0.122,0.119,0.089,0.103,0.097
120,0.144,0.142,0.143,0.132,0.132,0.127,0.091,0.108,0.101
130,0.158,0.155,0.155,0.143,0.143,0.137,0.093,0.114,0.106
140,0.18,0.172,0.18,0.158,0.155,0.152,0.098,0.125,0.115
150,0.202,0.199,0.201,0.183,0.175,0.176,0.102,0.137,0.124
160,0.209,0.215,0.221,0.207,0.203,0.199,0.107,0.151,0.134
170,0.226,0.218,0.228,0.221,0.224,0.225,0.113,0.164,0.145
180,0.238,0.246,0.245,0.233,0.253,0.228,0.124,0.176,0.156
190,0.254,0.255,0.263,0.257,0.256,0.244,0.134,0.189,0.169
200,0.275,0.273,0.276,0.265,0.278,0.256,0.146,0.198,0.178
210,0.294,0.293,0.295,0.281,0.294,0.272,0.16,0.212,0.19
220,0.315,0.314,0.313,0.302,0.308,0.291,0.177,0.229,0.202
230,0.339,0.333,0.33,0.319,0.323,0.317,0.194,0.249,0.218
240,0.345,0.344,0.346,0.336,0.34,0.335,0.197,0.27,0.236
250,0.361,0.358,0.359,0.35,0.35,0.344,0.206,0.292,0.256
260,0.373,0.371,0.372,0.363,0.364,0.359,0.221,0.318,0.279
270,0.391,0.384,0.387,0.375,0.376,0.369,0.24,0.336,0.303
280,0.399,0.396,0.397,0.387,0.388,0.381,0.26,0.35,0.323
290,0.412,0.408,0.409,0.399,0.399,0.397,0.282,0.364,0.337
300,0.42,0.42,0.425,0.409,0.409,0.403,0.305,0.377,0.348
310,0.432,0.433,0.436,0.423,0.421,0.414,0.326,0.391,0.361
320,0.443,0.444,0.449,0.434,0.433,0.424,0.341,0.405,0.372
330,0.453,0.452,0.455,0.446,0.444,0.435,0.354,0.414,0.39
340,0.464,0.462,0.467,0.455,0.454,0.446,0.364,0.423,0.4
350,0.473,0.47,0.473,0.46,0.463,0.46,0.374,0.439,0.408
360,0.482,0.48,0.482,0.469,0.473,0.469,0.386,0.446,0.42
370,0.491,0.489,0.49,0.477,0.477,0.478,0.4,0.456,0.435
380,0.5,0.497,0.498,0.483,0.485,0.482,0.41,0.467,0.441
390,0.508,0.506,0.508,0.492,0.493,0.488,0.42,0.478,0.45
400,0.516,0.513,0.515,0.499,0.5,0.496,0.432,0.486,0.458
410,0.523,0.521,0.523,0.507,0.508,0.503,0.44,0.495,0.467
420,0.53,0.528,0.53,0.515,0.515,0.511,0.449,0.505,0.475
430,0.537,0.536,0.538,0.52,0.522,0.518,0.458,0.516,0.485
440,0.544,0.542,0.544,0.529,0.527,0.526,0.466,0.526,0.494
450,0.55,0.548,0.552,0.534,0.533,0.53,0.474,0.532,0.5
460,0.555,0.554,0.558,0.542,0.541,0.538,0.485,0.538,0.51
470,0.561,0.561,0.565,0.547,0.549,0.545,0.493,0.541,0.516
480,0.566,0.565,0.571,0.552,0.553,0.55,0.504,0.544,0.526
490,0.57,0.57,0.578,0.557,0.558,0.558,0.512,0.542,0.53
500,0.576,0.575,0.581,0.562,0.566,0.562,0.519,0.542,0.534
510,0.581,0.579,0.584,0.565,0.57,0.568,0.526,0.545,0.537
520,0.584,0.584,0.588,0.567,0.574,0.569,0.53,0.551,0.541
530,0.584,0.587,0.591,0.57,0.577,0.576,0.535,0.553,0.546
540,0.586,0.589,0.593,0.574,0.581,0.58,0.536,0.556,0.541
550,0.585,0.588,0.592,0.576,0.582,0.582,0.536,0.559,0.546
560,0.584,0.587,0.594,0.578,0.582,0.585,0.537,0.56,0.549
570,0.584,0.589,0.592,0.577,0.58,0.58,0.537,0.561,0.548
580,0.583,0.588,0.592,0.576,0.579,0.579,0.538,0.564,0.551
590,0.583,0.587,0.591,0.575,0.577,0.576,0.543,0.565,0.552
600,0.582,0.587,0.591,0.572,0.575,0.572,0.545,0.566,0.554
610,0.582,0.587,0.591,0.572,0.575,0.57,0.546,0.568,0.555
620,0.581,0.586,0.59,0.57,0.573,0.569,0.547,0.573,0.56
630,0.58,0.586,0.589,0.568,0.571,0.567,0.552,0.573,0.56
640,0.579,0.586,0.589,0.567,0.57,0.566,0.555,0.564,0.563
650,0.578,0.585,0.589,0.566,0.568,0.564,0.556,0.566,0.564
660,0.578,0.584,0.588,0.564,0.567,0.562,0.559,0.566,0.566
670,0.577,0.584,0.587,0.563,0.566,0.561,0.56,0.564,0.562
680,0.577,0.583,0.586,0.561,0.564,0.559,0.564,0.567,0.565
690,0.575,0.582,0.586,0.56,0.562,0.558,0.563,0.569,0.564
700,0.575,0.582,0.585,0.558,0.561,0.556,0.565,0.564,0.564
710,0.573,0.581,0.585,0.557,0.56,0.555,0.562,0.563,0.561
720,0.572,0.58,0.584,0.555,0.558,0.553,0.564,0.562,0.562
730,0.572,0.579,0.583,0.554,0.557,0.552,0.558,0.562,0.553
740,0.571,0.578,0.583,0.553,0.555,0.55,0.554,0.562,0.555
750,0.57,0.578,0.582,0.552,0.554,0.55,0.561,0.563,0.555
760,0.569,0.577,0.581,0.551,0.554,0.549,0.558,0.562,0.555
770,0.568,0.576,0.58,0.549,0.552,0.547,0.557,0.561,0.557
780,0.567,0.575,0.58,0.548,0.551,0.546,0.553,0.561,0.56
790,0.566,0.575,0.58,0.546,0.549,0.545,0.552,0.561,0.558
800,0.566,0.574,0.579,0.546,0.548,0.544,0.551,0.561,0.553
810,0.565,0.573,0.578,0.544,0.546,0.542,0.551,0.56,0.552
820,0.563,0.572,0.577,0.543,0.546,0.541,0.55,0.56,0.554
830,0.563,0.572,0.576,0.542,0.544,0.54,0.551,0.56,0.556
840,0.562,0.571,0.576,0.54,0.543,0.539,0.55,0.56,0.551
850,0.561,0.57,0.575,0.539,0.542,0.537,0.55,0.559,0.55
860,0.559,0.569,0.574,0.538,0.541,0.536,0.549,0.558,0.551
870,0.558,0.568,0.573,0.537,0.539,0.534,0.549,0.557,0.548
880,0.558,0.568,0.573,0.537,0.539,0.533,0.549,0.557,0.548
890,0.557,0.566,0.572,0.535,0.537,0.533,0.549,0.557,0.547
900,0.556,0.566,0.571,0.534,0.537,0.532,0.548,0.557,0.547
910,0.554,0.565,0.57,0.533,0.536,0.531,0.548,0.556,0.546
920,0.554,0.564,0.57,0.531,0.534,0.529,0.547,0.555,0.545
930,0.553,0.563,0.569,0.53,0.533,0.528,0.547,0.554,0.545
940,0.552,0.563,0.568,0.53,0.533,0.527,0.546,0.554,0.546
950,0.551,0.562,0.568,0.528,0.531,0.526,0.545,0.553,0.543
960,0.55,0.561,0.567,0.528,0.53,0.525,0.545,0.554,0.543
970,0.549,0.56,0.566,0.526,0.529,0.525,0.545,0.553,0.543
980,0.547,0.559,0.566,0.526,0.529,0.524,0.544,0.552,0.541
990,0.546,0.558,0.565,0.525,0.527,0.521,0.544,0.552,0.541
1000,0.545,0.557,0.563,0.524,0.526,0.521,0.543,0.551,0.54
1010,0.544,0.557,0.564,0.524,0.526,0.52,0.542,0.551,0.54
1020,0.543,0.556,0.562,0.522,0.524,0.519,0.542,0.55,0.539
1030,0.542,0.555,0.562,0.521,0.523,0.518,0.541,0.549,0.538
1040,0.541,0.554,0.561,0.52,0.523,0.517,0.54,0.549,0.537
1050,0.54,0.553,0.56,0.519,0.521,0.517,0.539,0.547,0.537
1060,0.54,0.553,0.56,0.518,0.521,0.515,0.539,0.547,0.542
1070,0.539,0.552,0.559,0.518,0.52,0.515,0.539,0.547,0.535
1080,0.537,0.552,0.558,0.516,0.519,0.514,0.538,0.546,0.535
1090,0.537,0.55,0.558,0.516,0.519,0.512,0.537,0.545,0.534
